Weather	Temperature	Humidity	Transportation	Wind	Data
Sunny	Hot	High	Busy	Weak	yes
Sunny	Hot	High	Loose	Strong	yes
Overcast	Hot	High	Busy	Weak	no
Rain	Mild	High	Normal	Weak	no
Rain	Cool	Normal	Busy	Weak	no
Rain	Cool	Normal	Busy	Strong	no
Overcast	Cool	Normal	Busy	Strong	no
Sunny	Mild	High	Busy	Weak	yes
Sunny	Cool	Normal	Busy	Weak	yes
Rain	Mild	Normal	Normal	Weak	yes
Sunny	Mild	Normal	Normal	Strong	yes
Overcast	Mild	High	Normal	Strong	yes
Overcast	Hot	Normal	Normal	Weak	yes
Rain	Mild	High	Busy	Strong	no
Sunny	Mild	Normal	Normal	Weak	yes
Rain	Cool	High	Loose	Weak	no
Overcast	Mild	Normal	Busy	Strong	yes
Overcast	Cool	High	Normal	Strong	no
Sunny	Hot	High	Loose	Weak	yes
Sunny	Hot	High	Busy	Strong	no
Overcast	Hot	High	Loose	Weak	no
Rain	Mild	High	Busy	Weak	no
Rain	Cool	Normal	Busy	Weak	no
Rain	Cool	Normal	Loose	Strong	no
Overcast	Cool	Normal	Busy	Strong	no
Sunny	Mild	High	Busy	Weak	yes
Sunny	Cool	Normal	Loose	Weak	yes
Rain	Mild	Normal	Loose	Weak	yes
Sunny	Mild	Normal	Normal	Strong	yes
Overcast	Mild	High	Normal	Strong	yes
Overcast	Hot	Normal	Normal	Weak	yes
Rain	Mild	High	Busy	Strong	no
Sunny	Mild	Normal	Normal	Weak	yes
Rain	Cool	High	Busy	Weak	no
Overcast	Mild	Normal	Loose	Strong	yes
Overcast	Cool	High	Busy	Strong	no
